ID,Value
Alabama,45
Georgia,42
Iowa,27
Oklahoma,46
Pennsylvania,32
Nebraska,25
Missouri,39
Nevada,44
Florida,41
Arkansas,46
Texas,45
Utah,23
New Mexico,46
Kansas,35
Mississippi,46
Minnesota,20
Wisconsin,31
Tennessee,42
Virginia,32
Arizona,41
Kentucky,43
South Dakota,23
Oregon,28
Michigan,37
California,28
Ohio,39
New York,24
Indiana,38
Illinois,32
North Carolina,41
Maine,34
North Dakota,22
Colorado,33
Alaska,31
Wyoming,36
Montana,31
Hawaii,25
Idaho,29
Maryland,33
West Virginia,51
South Carolina,47
Washington,24
New Jersey,27
Vermont,25
Louisiana,50
Rhode Island,29
New Hampshire,26
Connecticut,28
Massachusetts,21
District of Columbia,29
Delaware,37